Obs	MMTX_THERAPY	medtreatsh	NameToUse	CodeName	ChemicalName	USTradeName	CollapsedTargetGroup	CollapsedMechanism	new_shnm	Remove from treatment list?
32	CC-122	CC-122	Avadomide	CC-122	Avadomide	 	IMID	IMID	Avad	
33	"CC-122 (PLEIOTROPIC PATHWAY MODIFIER
ML-122)"	"CC-122 (PLEIOTROPIC
PA"	Avadomide	CC-122	Avadomide	 	IMID	IMID	Avad	
34	CC-220	CC-220	Iberdomide	CC-220	Iberdomide	 	IMID	IMID	Iber	
35	CC-90002	CC-90002	CC-90002	CC-90002	 	 	CD47	Antibody	CC-90002	
36	CC-92480 (CC-92480-MM-001 STUDY)	CC-92480 (CC-92480-MM-	Mezigdomide	CC-92480	Mezigdomide	 	IMID	IMID	Mezi	
37	CELGENE CC-122 -PLEIOTROPIC PATHWAY	"CELGENE CC-122
-PLEIOT"	Avadomide	CC-122	Avadomide	 	IMID	IMID	Avad	
38	CISPLATIN	Cis	Cisplatin	 	Cisplatin	 	Chemotherapy	Chemotherapy	Cis	
39	CISPLATIN (PLATINOL)	Cis	Cisplatin	 	Cisplatin	 	Chemotherapy	Chemotherapy	Cis	
40	CISPLATINE	Cis	Cisplatin	 	Cisplatin	 	Chemotherapy	Chemotherapy	Cis	
41	CISTPLATIN	CISTPLATIN	Cisplatin	 	Cisplatin	 	Chemotherapy	Chemotherapy	Cis	
42	CLARITHOMYCIN	CLARITHOMYCIN	Clarithromycin	 	Clarithromycin	Biazin	Antibiotic	Antibiotic	Clar	
43	CLARITHROMYCIN	Clar	Clarithromycin	 	Clarithromycin	Biazin	Antibiotic	Antibiotic	Clar	
44	CLARITHROMYCIN (BIAXIN)	Clar	Clarithromycin	 	Clarithromycin	Biazin	Antibiotic	Antibiotic	Clar	
45	CLARITROMICINA	CLARITROMICINA	Clarithromycin	 	Clarithromycin	Biazin	Antibiotic	Antibiotic	Clar	
46	CLARITROMICINE	CLARITROMICINE	Clarithromycin	 	Clarithromycin	Biazin	Antibiotic	Antibiotic	Clar	
47	CLINICAL TRIAL	CLINICAL TRIAL	 	 	 	 	 	 	 	Y
48	CYCLOPHOSPHAMIDE	Cyc	Cyclophosphamide	 	Cyclophosphamide	Cytoxan	Chemotherapy	Chemotherapy	Cyc	
49	CYTARABINE	Cyt	Cytarabine	 	Cytarabine	 	Chemotherapy	Chemotherapy	Cyt	
50	CYTOXAN	Cyc	Cyclophosphamide	 	Cyclophosphamide	Cytoxan	Chemotherapy	Chemotherapy	Cyc	
51	Carfilzomib	Car	Carfilzomib	 	Carfilzomib	Kyprolis	Proteasome	Proteasome	Car	
52	Cyclophosphamide	Cyc	Cyclophosphamide	 	Cyclophosphamide	Cytoxan	Chemotherapy	Chemotherapy	Cyc	
53	DABRAFENIB	DABRAFENIB	Dabrafenib	GSK-2118436	Dabrafenib	Tafinlar	BRAF	Kinase Inhibitor	Dab	
54	DARATUMUMAB	Dar	Daratumumab	 	Daratumumab	Darzalex	CD38	Antibody	Dara	
55	DARATUMUMAB + HYALURONIDASE	DARATUMUMAB + HYALURON	Daratumumab	 	Daratumumab	Darzalex	CD38	Antibody	Dara	
56	DARZALEX	DARZALEX	Daratumumab	 	Daratumumab	Darzalex	CD38	Antibody	Dara	
57	DURVALUMAB	DURVALUMAB	Durvalumab	MEDI4736	Durvalumab	Imfinzi	Checkpoint Inhibitor	Antibody	Durv	
58	Daratumumab	Dar	Daratumumab	 	Daratumumab	Darzalex	CD38	Antibody	Dar	
59	Dexamethasone	Dex	Dexamethasone	 	Dexamethasone	 	Steroid	Steroid	Dex	
60	Doxorubicin	Dox	Doxorubicin	 	Doxorubicin	Adriamycin	Chemotherapy	Chemotherapy	Dox	
61	ELOTUZUMAB	Elo	Elotuzumab	 	Elotuzumab	Empliciti	SLAMF7	Antibody	Elo	
62	ETOPOSIDE	Etop	Etoposide	 	Etoposide	Vepesid	Chemotherapy	Chemotherapy	Etop	
63	ETOPOSIDE (VEPESID)	Etop	Etoposide	 	Etoposide	Vepesid	Chemotherapy	Chemotherapy	Etop	
64	ETOPOSIDE (VERSED)	ETOPOSIDE (VERSED)	Etoposide	 	Etoposide	Vepesid	Chemotherapy	Chemotherapy	Etop	
65	ETOPOSIDE (VP16)	ETOPOSIDE (VP16)	Etoposide	 	Etoposide	Vepesid	Chemotherapy	Chemotherapy	Etop	
66	Elotuzumab	Elo	Elotuzumab	 	Elotuzumab	Empliciti	SLAMF7	Antibody	Elo	
67	FILANESIB	FILANESIB	Filanesib	ARRY-520	Filanesib	 	Other	Other	Fil	
68	FLUDARABINE	Flu	Fludarabine	 	Fludarabine	Fludara	Chemotherapy	Chemotherapy	Flu	
69	FLUDRABINE	FLUDRABINE	Fludarabine	 	Fludarabine	Fludara	Chemotherapy	Chemotherapy	Flu	
70	FOR46	FOR46	FOR46	FOR46	 	 	CD46	Antibody	FOR46	
71	GPRC5D	GPRC5D	Anti-GPRC5D	 	 	 	GPRC5D	 	Anti-GPRC5D	
72	GSK2857916	GSK2857916	Belantamab mafodotin	GSK2857916	Belantamab mafodotin	BLENREP	BCMA	Antibody	Bela	
73	HYDROCORTISONE	[supp. Hydrocortisone]	Hydrocortisone	 	Hydrocortisone	 	Steroid	Steroid	Cort	
74	IBRANCE	IBRANCE	Palbociclib	 	Palbociclib	Ibrance	CDK4/6	Kinase Inhibitor	Palb	
75	IBRUTINIB	Ibu	Ibrutinib	 	Ibrutinib	Imbruvica	BTK	Kinase Inhibitor	Ibru	
76	IDASANUTLIN	IDASANUTLIN	Idasanutlin	 	Idasanutlin	 	MDM2	Other	Ida	
77	INVESTIGATIONAL ANTI-TIGIT	INVESTIGATIONAL ANTI-T	anti-TIGIT	 	 	 	Checkpoint Inhibitor	Antibody	 	
78	INVESTIGATIONAL PRODUCT	[INV]	"Investigational
Product"	 	 	 	 	 	 	
79	IPILIMUMAB	IPILIMUMAB	Ipilimumab	"MDX-010
(BMS-734016)"	Ipilimumab	Yervoy	Checkpoint Inhibitor	Antibody	Ipi	
80	ISATUXIMAB	ISATUXIMAB	Isatuximab	SAR650984	Isatuximab	Sarclisa	CD38	Antibody	Isa	
81	IXAZOMIB	Ixa	Ixazomib	MLN9708	Ixazomib	Ninlaro	Proteasome	Proteasome	Ixa	
82	IXAZOMIB VS PLACEBO	[INV]	Ixazomib	MLN9708	Ixazomib	Ninlaro	Proteasome	Proteasome	Ixa	
83	Ixazomib	Ixa	Ixazomib	MLN9708	Ixazomib	Ninlaro	Proteasome	Proteasome	Ixa	
84	JNJ-64407564	JNJ-64407564	JNJ-64407564	JNJ-64407564	 	 	GPRC5D	BiTE	JNJ-64407564	
85	KPT-330	Sel	Selinexor	KPT-330	Selinexor	Xpovio	XPO1	"Nuclear Export
Inhibitor"	Sel	
86	LEUKAPHERESIS	LEUKAPHERESIS	Leukapheresis	 	 	 	 	 	Leuk	
87	Lenalidomide	Len	Lenalidomide	CC-5013	Lenalidomide	Revlimid	IMID	IMID	Len	
88	Liposomal doxorubicin	Dox(lip.)	Doxorubicin	 	Doxorubicin	Adriamycin	Chemotherapy	Chemotherapy	Dox	
89	MAGE VACCINE	MAGE vaccine	MAGE-A3	 	MAGE-A3	 	Vaccine	Vaccine	MAGE-A3	
90	MAGE- A3 VACCINE	MAGE vaccine	MAGE-A3	 	MAGE-A3	 	Vaccine	Vaccine	MAGE-A3	
91	MEDI2228	MEDI2228	MEDI2228	MEDI2228	 	 	BCMA	Antibody	MEDI2228	
92	MEKINIST	MEKINIST	Trametinib	GSK1120212	Trametinib	Mekinist	MEK	Kinase Inhibitor	Tram	
93	MELFLUFEN	MELFLUFEN	Melflufen	 	Melflufen	 	Chemotherapy	Chemotherapy	Melf	
94	MELFLUFEN (OP-103)	MELFLUFEN (OP-103)	Melflufen	 	Melflufen	 	Chemotherapy	Chemotherapy	Melf	
95	MELPHALAN	Mel	Melphalan	 	Melphalan	Alkeran	Chemotherapy	Chemotherapy	Mel	
96	MESNA	[supp. MESNA]	Mesna	 	Mesna	Mesnex	 	 	Mesn	Y
97	METHOTREXATE	MTX	Methotrexate	 	Methotrexate	 	Chemotherapy	Chemotherapy	MTX	
98	METHYLPREDNISOLONE	MEP	Methylprednisolone	 	Methylprednisolone	Solu-Medrol	Steroid	Steroid	Mep	
99	METHYLPREDNISONE	METHYLPREDNISONE	Methylprednisolone	 	Methylprednisolone	Solu-Medrol	Steroid	Steroid	Mep	
100	METRO28	METRO28	METRO28	 	 	 	 	 	METRO28	
101	MLN9708	MLN9708	Ixazomib	MLN9708	Ixazomib	Ninlaro	Proteasome	Proteasome	Ixa	
102	MLN9708 VS PLACEBO	MLN9708 VS PLACEBO	Ixazomib	MLN9708	Ixazomib	Ninlaro	Proteasome	Proteasome	Ixa	
103	MOBOZIL	[supp. Plerixafor]	Plerixafor	 	Plerixafor	Mozobil	 	 	Pler	
104	MOZOBIL	[supp. Plerixafor]	Plerixafor	 	Plerixafor	Mozobil	 	 	Pler	
105	Melphalan	Mel	Melphalan	 	Melphalan	Alkeran	Chemotherapy	Chemotherapy	Mel	
106	NELFINAVIR	NELFINAVIR	Nelfinavir Mesylate	 	Nelfinavir Mesylate	Viracept	 	 	Nel	
107	NELFINAVIR (VIRACEPT)	"NELFINAVIR
(VIRACEPT)"	Nelfinavir Mesylate	 	Nelfinavir Mesylate	Viracept	 	 	Nel	
108	NINLARO	Ixa	Ixazomib	MLN9708	Ixazomib	Ninlaro	Proteasome	Proteasome	Ixa	
109	NIVOLUMAB	Niv	Nivolumab	BMS-936558	Nivolumab	Optivo	Checkpoint Inhibitor	Antibody	Niv	
110	ONC 201	ONC 201	ONC201	ONC201	 	 	Other	Other	ONC201	
111	OPROZOMIB	Opro	Oprozomib	ONX-0912	Oprozomib	 	Proteasome	Proteasome	Opro	
112	PANIBINOSTAT	Pano	Panobinostat	LBH-589	Panobinostat	Farydak	HDAC	HDAC	Pano	
113	PANOBINOSTAT	Pano	Panobinostat	LBH-589	Panobinostat	Farydak	HDAC	HDAC	Pano	
114	PEMBROLIZUMAB	Pemb	Pembrolizumab	lambrolizumab	Pembrolizumab	KEYTRUDA	Checkpoint Inhibitor	Antibody	Pemb	
115	PEMBROLIZUMAB (KEYTRUDA)	"PEMBROLIZUMAB
(KEYTRUD"	Pembrolizumab	lambrolizumab	Pembrolizumab	KEYTRUDA	Checkpoint Inhibitor	Antibody	Pemb	
116	PLERIXAFOR	[supp. Plerixafor]	Plerixafor	 	Plerixafor	Mozobil	 	 	Pler	
117	POMALIDOMIDE	Pom	Pomalidomide	CC-4047	Pomalidomide	POMALYST	IMID	IMID	Pom	
118	PREDNISONE	Pred	Prednisone	 	Prednisone	 	Steroid	Steroid	Pred	
119	Panobinostat	Pano	Panobinostat	LBH-589	Panobinostat	Farydak	HDAC	HDAC	Pano	
120	Pomalidomide	Pom	Pomalidomide	CC-4047	Pomalidomide	POMALYST	IMID	IMID	Pom	
121	Prednisone	Pred	Prednisone	 	Prednisone	 	Steroid	Steroid	Pred	
122	"RANDOMIZED MILS TRIAL, J1343 (NO MILS
ARM)"	"RANDOMIZED MILS
TRIAL,"	 	 	 	 	 	 	 	
123	RECMAGE VACCINE	Recmage vaccine	MAGE-A3	 	MAGE-A3	 	Vaccine	Vaccine	MAGE-A3	
124	REGN5458	REGN5458	REGN5458	REGN5458	 	 	BCMA	BiTE	REGN5458	
125	REGN5458 (BCMA X CD3)	REGN5458 (BCMA X CD3)	REGN5458	REGN5458	 	 	BCMA	BiTE	REGN5458	
126	REGN5458-ONC-1826	REGN5458-ONC-1826	REGN5458	REGN5458	 	 	BCMA	BiTE	REGN5458	
127	REVLIMID	REVLIMID	Lenalidomide	CC-5013	Lenalidomide	Revlimid	IMID	IMID	Len	
128	RITUXAN	Rit	Rituximab	 	Rituximab	Rituxan	CD20	Antibody	Rit	
129	SAR650984	SAR650984	Isatuximab	SAR650984	Isatuximab	Sarclisa	CD38	Antibody	Isa	
130	SAR650984 ISATUXIMAB	"SAR650984
ISATUXIMAB"	Isatuximab	SAR650984	Isatuximab	Sarclisa	CD38	Antibody	Isa	
131	SEA-BCMA	SEA-BCMA	SEA-BCMA	SEA-BCMA	 	 	BCMA	Antibody	SEA-BCMA	
132	SELINEXOR	Sel	Selinexor	KPT-330	Selinexor	Xpovio	XPO1	"Nuclear Export
Inhibitor"	Sel	
133	SELINEXOR (KPT-330)	SELINEXOR (KPT-330)	Selinexor	KPT-330	Selinexor	Xpovio	XPO1	"Nuclear Export
Inhibitor"	Sel	
134	SOLUMEDROL	SOLUMEDROL	Methylprednisolone	 	Methylprednisolone	Solu-Medrol	Steroid	Steroid	Mep	
135	STRO-001	STRO-001	STRO-001	STRO-001	 	 	CD74	Antibody	STRO-001	
136	TAK-079	TAK-079	TAK-079	TAK-079	 	 	CD38	Antibody	TAK-079	
137	TAK-573-1501	TAK-573-1501	TAK-573	TAK-573	 	 	CD38	Antibody	TAK-573	
138	TAS4464	TAS4464	TAS4464	TAS4464	 	 	Other	Other	TAS4464	
139	TH1 CELL INFUSION	[TH1 cell infusion]	TH1 Cell Infusion	 	 	 	 	 	"TH1 Cell
Infusion"	
140	TRAMETINIB	TRAMETINIB	Trametinib	GSK1120212	Trametinib	Mekinist	MEK	Kinase Inhibitor	Tram	
141	TRASTUZUMAB	TRASTUZUMAB	Trastuzumab	 	Trastuzumab	Herceptin	 	 	Tras	Y
142	TURMERIC	[supp. Turmeric]	Turmeric	 	 	 	 	 	Tumeric	Y
143	Thalidomide	Thal	Thalidomide	 	Thalidomide	Thalomid	IMID	IMID	Thal	
144	VENCLEXTA	VENCLEXTA	Venetoclax	ABT-199	Venetoclax	VENCLEXTA	BCL2	Apoptosis Regulation	Vent	
145	VENETACLEX	VENETACLEX	Venetoclax	ABT-199	Venetoclax	VENCLEXTA	BCL2	Apoptosis Regulation	Vent	
146	VENETOCLAX	VENETOCLAX	Venetoclax	ABT-199	Venetoclax	VENCLEXTA	BCL2	Apoptosis Regulation	Vent	
147	VENETOCLEX	VENETOCLEX	Venetoclax	ABT-199	Venetoclax	VENCLEXTA	BCL2	Apoptosis Regulation	Vent	
148	VIRACEPT	VIRACEPT	Nelfinavir Mesylate	 	Nelfinavir Mesylate	Viracept	 	 	Nel	
149	VORINOSTAT	Vor	Vorinostat	SAHA	Vorinostat	Zolinza	HDAC	HDAC	Vor	
150	Vincristine	Vin	Vincristine	 	Vincristine	 	Chemotherapy	Chemotherapy	Vin	
